,year,country,sex,age,suicides_no,Population,GDPyear,suicides_100k,latitude,longitude
196,1985,France,female,55-74 years,1218,5255800,553138414367.0,23.17,46.227638,2.213749
197,1985,France,female,75+ years,670,2434600,553138414367.0,27.52,46.227638,2.213749
201,1985,France,male,05-14 years,29,3837000,553138414367.0,0.76,46.227638,2.213749
198,1985,France,male,15-24 years,740,4349200,553138414367.0,17.01,46.227638,2.213749
199,1985,France,male,25-34 years,1492,4240100,553138414367.0,35.19,46.227638,2.213749
200,1985,France,male,35-54 years,2752,6799400,553138414367.0,40.47,46.227638,2.213749
202,1985,France,male,55-74 years,2363,4471600,553138414367.0,52.84,46.227638,2.213749
203,1985,France,male,75+ years,1522,1263200,553138414367.0,120.49,46.227638,2.213749
207,1985,Greece,female,05-14 years,0,684600,47820850975.0,0.0,39.074208,21.824312
204,1985,Greece,female,15-24 years,13,720500,47820850975.0,1.8,39.074208,21.824312
205,1985,Greece,female,25-34 years,18,679100,47820850975.0,2.65,39.074208,21.824312
206,1985,Greece,female,35-54 years,35,1326900,47820850975.0,2.64,39.074208,21.824312
208,1985,Greece,female,55-74 years,47,1000100,47820850975.0,4.7,39.074208,21.824312
209,1985,Greece,female,75+ years,15,317900,47820850975.0,4.72,39.074208,21.824312
213,1985,Greece,male,05-14 years,0,731000,47820850975.0,0.0,39.074208,21.824312
210,1985,Greece,male,15-24 years,35,775900,47820850975.0,4.51,39.074208,21.824312
211,1985,Greece,male,25-34 years,40,682900,47820850975.0,5.86,39.074208,21.824312
212,1985,Greece,male,35-54 years,82,1248900,47820850975.0,6.57,39.074208,21.824312
214,1985,Greece,male,55-74 years,85,874300,47820850975.0,9.72,39.074208,21.824312
215,1985,Greece,male,75+ years,35,233300,47820850975.0,15.0,39.074208,21.824312
231,1985,Iceland,female,05-14 years,0,20400,2939845038.0,0.0,64.96305100000001,-19.020835
228,1985,Iceland,female,15-24 years,0,21200,2939845038.0,0.0,64.96305100000001,-19.020835
229,1985,Iceland,female,25-34 years,0,19400,2939845038.0,0.0,64.96305100000001,-19.020835
230,1985,Iceland,female,35-54 years,3,25000,2939845038.0,12.0,64.96305100000001,-19.020835
232,1985,Iceland,female,55-74 years,4,17500,2939845038.0,22.86,64.96305100000001,-19.020835
233,1985,Iceland,female,75+ years,0,6100,2939845038.0,0.0,64.96305100000001,-19.020835
237,1985,Iceland,male,05-14 years,0,21400,2939845038.0,0.0,64.96305100000001,-19.020835
234,1985,Iceland,male,15-24 years,7,21900,2939845038.0,31.96,64.96305100000001,-19.020835
235,1985,Iceland,male,25-34 years,5,20500,2939845038.0,24.39,64.96305100000001,-19.020835
236,1985,Iceland,male,35-54 years,7,25800,2939845038.0,27.13,64.96305100000001,-19.020835
238,1985,Iceland,male,55-74 years,5,16400,2939845038.0,30.49,64.96305100000001,-19.020835
239,1985,Iceland,male,75+ years,1,4500,2939845038.0,22.22,64.96305100000001,-19.020835
243,1985,Ireland,female,05-14 years,0,342300,21295486383.0,0.0,53.41291,-8.243889999999999
240,1985,Ireland,female,15-24 years,3,303600,21295486383.0,0.99,53.41291,-8.243889999999999
241,1985,Ireland,female,25-34 years,11,248300,21295486383.0,4.43,53.41291,-8.243889999999999
242,1985,Ireland,female,35-54 years,24,353200,21295486383.0,6.8,53.41291,-8.243889999999999
244,1985,Ireland,female,55-74 years,21,274200,21295486383.0,7.66,53.41291,-8.243889999999999
245,1985,Ireland,female,75+ years,1,85900,21295486383.0,1.16,53.41291,-8.243889999999999
249,1985,Ireland,male,05-14 years,1,360200,21295486383.0,0.28,53.41291,-8.243889999999999
246,1985,Ireland,male,15-24 years,48,314400,21295486383.0,15.27,53.41291,-8.243889999999999
247,1985,Ireland,male,25-34 years,47,251000,21295486383.0,18.73,53.41291,-8.243889999999999
248,1985,Ireland,male,35-54 years,51,367300,21295486383.0,13.89,53.41291,-8.243889999999999
250,1985,Ireland,male,55-74 years,65,251800,21295486383.0,25.81,53.41291,-8.243889999999999
251,1985,Ireland,male,75+ years,4,56000,21295486383.0,7.14,53.41291,-8.243889999999999
255,1985,Israel,female,05-14 years,0,437800,27493591484.0,0.0,31.046051000000002,34.851612
252,1985,Israel,female,15-24 years,7,346200,27493591484.0,2.02,31.046051000000002,34.851612
253,1985,Israel,female,25-34 years,11,324700,27493591484.0,3.39,31.046051000000002,34.851612
254,1985,Israel,female,35-54 years,19,412800,27493591484.0,4.6,31.046051000000002,34.851612
256,1985,Israel,female,55-74 years,28,290900,27493591484.0,9.63,31.046051000000002,34.851612
257,1985,Israel,female,75+ years,10,75500,27493591484.0,13.25,31.046051000000002,34.851612
261,1985,Israel,male,05-14 years,0,461200,27493591484.0,0.0,31.046051000000002,34.851612
258,1985,Israel,male,15-24 years,19,368300,27493591484.0,5.16,31.046051000000002,34.851612
259,1985,Israel,male,25-34 years,27,324000,27493591484.0,8.33,31.046051000000002,34.851612
260,1985,Israel,male,35-54 years,41,396400,27493591484.0,10.34,31.046051000000002,34.851612
262,1985,Israel,male,55-74 years,48,249100,27493591484.0,19.27,31.046051000000002,34.851612
263,1985,Israel,male,75+ years,24,66600,27493591484.0,36.04,31.046051000000002,34.851612
267,1985,Italy,female,05-14 years,5,3898700,450725816043.0,0.13,41.87194,12.56738
264,1985,Italy,female,15-24 years,60,4613300,450725816043.0,1.3,41.87194,12.56738
265,1985,Italy,female,25-34 years,106,3946700,450725816043.0,2.69,41.87194,12.56738
266,1985,Italy,female,35-54 years,382,7478700,450725816043.0,5.11,41.87194,12.56738
268,1985,Italy,female,55-74 years,596,6003500,450725816043.0,9.93,41.87194,12.56738
269,1985,Italy,female,75+ years,239,1961500,450725816043.0,12.18,41.87194,12.56738
273,1985,Italy,male,05-14 years,10,4101400,450725816043.0,0.24,41.87194,12.56738
270,1985,Italy,male,15-24 years,249,4770000,450725816043.0,5.22,41.87194,12.56738
271,1985,Italy,male,25-34 years,361,3973800,450725816043.0,9.08,41.87194,12.56738
272,1985,Italy,male,35-54 years,902,7267900,450725816043.0,12.41,41.87194,12.56738
274,1985,Italy,male,55-74 years,1307,4991500,450725816043.0,26.18,41.87194,12.56738
275,1985,Italy,male,75+ years,542,1107700,450725816043.0,48.93,41.87194,12.56738
291,1985,Japan,female,05-14 years,26,9041200,1398892744821.0,0.29,36.204824,138.252924
288,1985,Japan,female,15-24 years,491,8366600,1398892744821.0,5.87,36.204824,138.252924
289,1985,Japan,female,25-34 years,817,8321600,1398892744821.0,9.82,36.204824,138.252924
290,1985,Japan,female,35-54 years,2582,17953700,1398892744821.0,14.38,36.204824,138.252924
292,1985,Japan,female,55-74 years,2543,11024900,1398892744821.0,23.07,36.204824,138.252924
293,1985,Japan,female,75+ years,1553,2862400,1398892744821.0,54.26,36.204824,138.252924
297,1985,Japan,male,05-14 years,59,9423300,1398892744821.0,0.63,36.204824,138.252924
294,1985,Japan,male,15-24 years,1139,8728500,1398892744821.0,13.05,36.204824,138.252924
295,1985,Japan,male,25-34 years,1982,8465800,1398892744821.0,23.41,36.204824,138.252924
296,1985,Japan,male,35-54 years,6962,17833300,1398892744821.0,39.04,36.204824,138.252924
298,1985,Japan,male,55-74 years,3763,8996900,1398892744821.0,41.83,36.204824,138.252924
299,1985,Japan,male,75+ years,1340,1791000,1398892744821.0,74.82,36.204824,138.252924
315,1985,Luxembourg,female,05-14 years,0,20500,4738559685.0,0.0,49.815273,6.129583
312,1985,Luxembourg,female,15-24 years,1,27800,4738559685.0,3.6,49.815273,6.129583
313,1985,Luxembourg,female,25-34 years,6,29800,4738559685.0,20.13,49.815273,6.129583
314,1985,Luxembourg,female,35-54 years,5,47900,4738559685.0,10.44,49.815273,6.129583
316,1985,Luxembourg,female,55-74 years,0,38300,4738559685.0,0.0,49.815273,6.129583
317,1985,Luxembourg,female,75+ years,4,13500,4738559685.0,29.63,49.815273,6.129583
321,1985,Luxembourg,male,05-14 years,2,21700,4738559685.0,9.22,49.815273,6.129583
318,1985,Luxembourg,male,15-24 years,2,28100,4738559685.0,7.12,49.815273,6.129583
319,1985,Luxembourg,male,25-34 years,3,29900,4738559685.0,10.03,49.815273,6.129583
320,1985,Luxembourg,male,35-54 years,12,50200,4738559685.0,23.9,49.815273,6.129583
322,1985,Luxembourg,male,55-74 years,14,30200,4738559685.0,46.36,49.815273,6.129583
323,1985,Luxembourg,male,75+ years,6,6900,4738559685.0,86.96,49.815273,6.129583
327,1985,Malta,female,05-14 years,0,25900,1117835286.0,0.0,35.937496,14.375416
324,1985,Malta,female,15-24 years,0,23000,1117835286.0,0.0,35.937496,14.375416
325,1985,Malta,female,25-34 years,0,29600,1117835286.0,0.0,35.937496,14.375416
326,1985,Malta,female,35-54 years,0,46100,1117835286.0,0.0,35.937496,14.375416
328,1985,Malta,female,55-74 years,0,26500,1117835286.0,0.0,35.937496,14.375416
329,1985,Malta,female,75+ years,0,7300,1117835286.0,0.0,35.937496,14.375416
333,1985,Malta,male,05-14 years,0,27900,1117835286.0,0.0,35.937496,14.375416
330,1985,Malta,male,15-24 years,1,24200,1117835286.0,4.13,35.937496,14.375416
331,1985,Malta,male,25-34 years,0,29600,1117835286.0,0.0,35.937496,14.375416
332,1985,Malta,male,35-54 years,0,40800,1117835286.0,0.0,35.937496,14.375416
334,1985,Malta,male,55-74 years,1,21600,1117835286.0,4.63,35.937496,14.375416
335,1985,Malta,male,75+ years,0,4700,1117835286.0,0.0,35.937496,14.375416
339,1985,Mauritius,female,05-14 years,0,100900,1080642033.0,0.0,-20.348404000000002,57.552152
336,1985,Mauritius,female,15-24 years,18,106300,1080642033.0,16.93,-20.348404000000002,57.552152
337,1985,Mauritius,female,25-34 years,6,87200,1080642033.0,6.88,-20.348404000000002,57.552152
338,1985,Mauritius,female,35-54 years,6,90500,1080642033.0,6.63,-20.348404000000002,57.552152
340,1985,Mauritius,female,55-74 years,4,47900,1080642033.0,8.35,-20.348404000000002,57.552152
341,1985,Mauritius,female,75+ years,2,8800,1080642033.0,22.73,-20.348404000000002,57.552152
345,1985,Mauritius,male,05-14 years,1,104700,1080642033.0,0.96,-20.348404000000002,57.552152
342,1985,Mauritius,male,15-24 years,21,109400,1080642033.0,19.2,-20.348404000000002,57.552152
343,1985,Mauritius,male,25-34 years,19,88500,1080642033.0,21.47,-20.348404000000002,57.552152
344,1985,Mauritius,male,35-54 years,18,89500,1080642033.0,20.11,-20.348404000000002,57.552152
346,1985,Mauritius,male,55-74 years,9,45300,1080642033.0,19.87,-20.348404000000002,57.552152
347,1985,Mauritius,male,75+ years,0,4400,1080642033.0,0.0,-20.348404000000002,57.552152
351,1985,Mexico,female,05-14 years,20,10654000,184472557415.0,0.19,23.634501,-102.552784
348,1985,Mexico,female,15-24 years,107,8211000,184472557415.0,1.3,23.634501,-102.552784
349,1985,Mexico,female,25-34 years,61,5661000,184472557415.0,1.08,23.634501,-102.552784
350,1985,Mexico,female,35-54 years,55,6100000,184472557415.0,0.9,23.634501,-102.552784
352,1985,Mexico,female,55-74 years,15,2651000,184472557415.0,0.57,23.634501,-102.552784
353,1985,Mexico,female,75+ years,7,563000,184472557415.0,1.24,23.634501,-102.552784
357,1985,Mexico,male,05-14 years,48,11029000,184472557415.0,0.44,23.634501,-102.552784
354,1985,Mexico,male,15-24 years,375,8420000,184472557415.0,4.45,23.634501,-102.552784
355,1985,Mexico,male,25-34 years,340,5679000,184472557415.0,5.99,23.634501,-102.552784
356,1985,Mexico,male,35-54 years,327,5836000,184472557415.0,5.6,23.634501,-102.552784
358,1985,Mexico,male,55-74 years,145,2330000,184472557415.0,6.22,23.634501,-102.552784
359,1985,Mexico,male,75+ years,44,432000,184472557415.0,10.19,23.634501,-102.552784
363,1985,Netherlands,female,05-14 years,2,950900,142009922306.0,0.21,52.132633,5.291266
360,1985,Netherlands,female,15-24 years,38,1226200,142009922306.0,3.1,52.132633,5.291266
361,1985,Netherlands,female,25-34 years,107,1156600,142009922306.0,9.25,52.132633,5.291266
362,1985,Netherlands,female,35-54 years,197,1792300,142009922306.0,10.99,52.132633,5.291266
364,1985,Netherlands,female,55-74 years,195,1297300,142009922306.0,15.03,52.132633,5.291266
365,1985,Netherlands,female,75+ years,51,474300,142009922306.0,10.75,52.132633,5.291266
369,1985,Netherlands,male,05-14 years,5,995000,142009922306.0,0.5,52.132633,5.291266
366,1985,Netherlands,male,15-24 years,136,1278200,142009922306.0,10.64,52.132633,5.291266
367,1985,Netherlands,male,25-34 years,212,1202800,142009922306.0,17.63,52.132633,5.291266
