,year,country,sex,age,suicides_no,Population,GDPyear,suicides_100k,latitude,longitude
24667,2012,Norway,male,25-34 years,61,336168,510229136227.0,18.15,60.472024,8.468946
24668,2012,Norway,male,35-54 years,148,721883,510229136227.0,20.5,60.472024,8.468946
24670,2012,Norway,male,55-74 years,81,508097,510229136227.0,15.94,60.472024,8.468946
24671,2012,Norway,male,75+ years,33,138390,510229136227.0,23.85,60.472024,8.468946
24723,2012,Puerto Rico,female,05-14 years,0,244141,101564800000.0,0.0,18.220833,-66.590149
24720,2012,Puerto Rico,female,15-24 years,2,280632,101564800000.0,0.71,18.220833,-66.590149
24721,2012,Puerto Rico,female,25-34 years,7,268351,101564800000.0,2.61,18.220833,-66.590149
24722,2012,Puerto Rico,female,35-54 years,16,512033,101564800000.0,3.12,18.220833,-66.590149
24724,2012,Puerto Rico,female,55-74 years,18,370902,101564800000.0,4.85,18.220833,-66.590149
24725,2012,Puerto Rico,female,75+ years,1,134700,101564800000.0,0.74,18.220833,-66.590149
24729,2012,Puerto Rico,male,05-14 years,2,265879,101564800000.0,0.75,18.220833,-66.590149
24726,2012,Puerto Rico,male,15-24 years,30,287397,101564800000.0,10.44,18.220833,-66.590149
24727,2012,Puerto Rico,male,25-34 years,24,262555,101564800000.0,9.14,18.220833,-66.590149
24728,2012,Puerto Rico,male,35-54 years,71,456110,101564800000.0,15.57,18.220833,-66.590149
24730,2012,Puerto Rico,male,55-74 years,60,301891,101564800000.0,19.87,18.220833,-66.590149
24731,2012,Puerto Rico,male,75+ years,17,88081,101564800000.0,19.3,18.220833,-66.590149
24747,2012,Republic of Korea,female,05-14 years,20,2582212,1222807284485.0,0.77,35.907757000000004,127.766922
24744,2012,Republic of Korea,female,15-24 years,299,3188031,1222807284485.0,9.38,35.907757000000004,127.766922
24745,2012,Republic of Korea,female,25-34 years,733,3604570,1222807284485.0,20.34,35.907757000000004,127.766922
24746,2012,Republic of Korea,female,35-54 years,1539,8431939,1222807284485.0,18.25,35.907757000000004,127.766922
24748,2012,Republic of Korea,female,55-74 years,1060,4778393,1222807284485.0,22.18,35.907757000000004,127.766922
24749,2012,Republic of Korea,female,75+ years,887,1444622,1222807284485.0,61.4,35.907757000000004,127.766922
24753,2012,Republic of Korea,male,05-14 years,28,2802575,1222807284485.0,1.0,35.907757000000004,127.766922
24750,2012,Republic of Korea,male,15-24 years,475,3573502,1222807284485.0,13.29,35.907757000000004,127.766922
24751,2012,Republic of Korea,male,25-34 years,1210,3795994,1222807284485.0,31.88,35.907757000000004,127.766922
24752,2012,Republic of Korea,male,35-54 years,3732,8693747,1222807284485.0,42.93,35.907757000000004,127.766922
24754,2012,Republic of Korea,male,55-74 years,3039,4379584,1222807284485.0,69.39,35.907757000000004,127.766922
24755,2012,Republic of Korea,male,75+ years,1137,745816,1222807284485.0,152.45,35.907757000000004,127.766922
24759,2012,Romania,female,05-14 years,5,1043161,171664638717.0,0.48,45.943160999999996,24.96676
24756,2012,Romania,female,15-24 years,27,1168598,171664638717.0,2.31,45.943160999999996,24.96676
24757,2012,Romania,female,25-34 years,32,1373925,171664638717.0,2.33,45.943160999999996,24.96676
24758,2012,Romania,female,35-54 years,112,2816257,171664638717.0,3.98,45.943160999999996,24.96676
24760,2012,Romania,female,55-74 years,135,2465486,171664638717.0,5.48,45.943160999999996,24.96676
24761,2012,Romania,female,75+ years,42,927366,171664638717.0,4.53,45.943160999999996,24.96676
24765,2012,Romania,male,05-14 years,11,1100497,171664638717.0,1.0,45.943160999999996,24.96676
24762,2012,Romania,male,15-24 years,156,1240383,171664638717.0,12.58,45.943160999999996,24.96676
24763,2012,Romania,male,25-34 years,253,1438391,171664638717.0,17.59,45.943160999999996,24.96676
24764,2012,Romania,male,35-54 years,903,2880956,171664638717.0,31.34,45.943160999999996,24.96676
24766,2012,Romania,male,55-74 years,667,2037178,171664638717.0,32.74,45.943160999999996,24.96676
24767,2012,Romania,male,75+ years,152,549396,171664638717.0,27.67,45.943160999999996,24.96676
24783,2012,Saint Lucia,female,05-14 years,0,13460,1436803333.0,0.0,13.909444,-60.97889300000001
24780,2012,Saint Lucia,female,15-24 years,0,16001,1436803333.0,0.0,13.909444,-60.97889300000001
24781,2012,Saint Lucia,female,25-34 years,0,14085,1436803333.0,0.0,13.909444,-60.97889300000001
24782,2012,Saint Lucia,female,35-54 years,1,24624,1436803333.0,4.06,13.909444,-60.97889300000001
24784,2012,Saint Lucia,female,55-74 years,0,11502,1436803333.0,0.0,13.909444,-60.97889300000001
24785,2012,Saint Lucia,female,75+ years,0,4017,1436803333.0,0.0,13.909444,-60.97889300000001
24789,2012,Saint Lucia,male,05-14 years,1,13592,1436803333.0,7.36,13.909444,-60.97889300000001
24786,2012,Saint Lucia,male,15-24 years,1,16016,1436803333.0,6.24,13.909444,-60.97889300000001
24787,2012,Saint Lucia,male,25-34 years,1,13446,1436803333.0,7.44,13.909444,-60.97889300000001
24788,2012,Saint Lucia,male,35-54 years,4,23432,1436803333.0,17.07,13.909444,-60.97889300000001
24790,2012,Saint Lucia,male,55-74 years,1,10788,1436803333.0,9.27,13.909444,-60.97889300000001
24791,2012,Saint Lucia,male,75+ years,1,2977,1436803333.0,33.59,13.909444,-60.97889300000001
24831,2012,Singapore,female,05-14 years,1,214900,290673681684.0,0.47,1.352083,103.819836
24828,2012,Singapore,female,15-24 years,17,258600,290673681684.0,6.57,1.352083,103.819836
24829,2012,Singapore,female,25-34 years,15,286200,290673681684.0,5.24,1.352083,103.819836
24830,2012,Singapore,female,35-54 years,66,632900,290673681684.0,10.43,1.352083,103.819836
24832,2012,Singapore,female,55-74 years,35,366600,290673681684.0,9.55,1.352083,103.819836
24833,2012,Singapore,female,75+ years,15,87100,290673681684.0,17.22,1.352083,103.819836
24837,2012,Singapore,male,05-14 years,1,224700,290673681684.0,0.45,1.352083,103.819836
24834,2012,Singapore,male,15-24 years,19,264800,290673681684.0,7.18,1.352083,103.819836
24835,2012,Singapore,male,25-34 years,22,263800,290673681684.0,8.34,1.352083,103.819836
24836,2012,Singapore,male,35-54 years,89,621200,290673681684.0,14.33,1.352083,103.819836
24838,2012,Singapore,male,55-74 years,91,352500,290673681684.0,25.82,1.352083,103.819836
24839,2012,Singapore,male,75+ years,21,58300,290673681684.0,36.02,1.352083,103.819836
24879,2012,Spain,female,05-14 years,1,2249607,1336018949806.0,0.04,40.463667,-3.7492199999999998
24876,2012,Spain,female,15-24 years,34,2275761,1336018949806.0,1.49,40.463667,-3.7492199999999998
24877,2012,Spain,female,25-34 years,74,3332672,1336018949806.0,2.22,40.463667,-3.7492199999999998
24878,2012,Spain,female,35-54 years,333,7311647,1336018949806.0,4.55,40.463667,-3.7492199999999998
24880,2012,Spain,female,55-74 years,230,4772892,1336018949806.0,4.82,40.463667,-3.7492199999999998
24881,2012,Spain,female,75+ years,143,2583804,1336018949806.0,5.53,40.463667,-3.7492199999999998
24885,2012,Spain,male,05-14 years,4,2384853,1336018949806.0,0.17,40.463667,-3.7492199999999998
24882,2012,Spain,male,15-24 years,120,2380360,1336018949806.0,5.04,40.463667,-3.7492199999999998
24883,2012,Spain,male,25-34 years,318,3431219,1336018949806.0,9.27,40.463667,-3.7492199999999998
24884,2012,Spain,male,35-54 years,1016,7529797,1336018949806.0,13.49,40.463667,-3.7492199999999998
24886,2012,Spain,male,55-74 years,695,4411118,1336018949806.0,15.76,40.463667,-3.7492199999999998
24887,2012,Spain,male,75+ years,571,1655129,1336018949806.0,34.5,40.463667,-3.7492199999999998
24891,2012,Suriname,female,05-14 years,3,48244,4980000000.0,6.22,3.9193050000000005,-56.02778299999999
24888,2012,Suriname,female,15-24 years,9,46713,4980000000.0,19.27,3.9193050000000005,-56.02778299999999
24889,2012,Suriname,female,25-34 years,6,39751,4980000000.0,15.09,3.9193050000000005,-56.02778299999999
24890,2012,Suriname,female,35-54 years,7,69327,4980000000.0,10.1,3.9193050000000005,-56.02778299999999
24892,2012,Suriname,female,55-74 years,8,31542,4980000000.0,25.36,3.9193050000000005,-56.02778299999999
24893,2012,Suriname,female,75+ years,0,7412,4980000000.0,0.0,3.9193050000000005,-56.02778299999999
24897,2012,Suriname,male,05-14 years,0,51758,4980000000.0,0.0,3.9193050000000005,-56.02778299999999
24894,2012,Suriname,male,15-24 years,17,49082,4980000000.0,34.64,3.9193050000000005,-56.02778299999999
24895,2012,Suriname,male,25-34 years,24,40412,4980000000.0,59.39,3.9193050000000005,-56.02778299999999
24896,2012,Suriname,male,35-54 years,37,70333,4980000000.0,52.61,3.9193050000000005,-56.02778299999999
24898,2012,Suriname,male,55-74 years,12,27044,4980000000.0,44.37,3.9193050000000005,-56.02778299999999
24899,2012,Suriname,male,75+ years,10,5346,4980000000.0,187.06,3.9193050000000005,-56.02778299999999
24903,2012,Sweden,female,05-14 years,4,499876,543880647757.0,0.8,60.128161,18.643501
24900,2012,Sweden,female,15-24 years,34,602499,543880647757.0,5.64,60.128161,18.643501
24901,2012,Sweden,female,25-34 years,27,580871,543880647757.0,4.65,60.128161,18.643501
24902,2012,Sweden,female,35-54 years,140,1241491,543880647757.0,11.28,60.128161,18.643501
24904,2012,Sweden,female,55-74 years,89,1090751,543880647757.0,8.16,60.128161,18.643501
24905,2012,Sweden,female,75+ years,41,480219,543880647757.0,8.54,60.128161,18.643501
24909,2012,Sweden,male,05-14 years,1,527714,543880647757.0,0.19,60.128161,18.643501
24906,2012,Sweden,male,15-24 years,83,635011,543880647757.0,13.07,60.128161,18.643501
24907,2012,Sweden,male,25-34 years,113,609527,543880647757.0,18.54,60.128161,18.643501
24908,2012,Sweden,male,35-54 years,257,1279633,543880647757.0,20.08,60.128161,18.643501
24910,2012,Sweden,male,55-74 years,256,1074267,543880647757.0,23.83,60.128161,18.643501
24911,2012,Sweden,male,75+ years,109,327050,543880647757.0,33.33,60.128161,18.643501
24927,2012,Thailand,female,05-14 years,14,4056666,397558094270.0,0.35,15.870032,100.992541
24924,2012,Thailand,female,15-24 years,84,4728702,397558094270.0,1.78,15.870032,100.992541
24925,2012,Thailand,female,25-34 years,162,5050719,397558094270.0,3.21,15.870032,100.992541
24926,2012,Thailand,female,35-54 years,394,10521850,397558094270.0,3.74,15.870032,100.992541
24928,2012,Thailand,female,55-74 years,222,5145957,397558094270.0,4.31,15.870032,100.992541
24929,2012,Thailand,female,75+ years,54,1265466,397558094270.0,4.27,15.870032,100.992541
24933,2012,Thailand,male,05-14 years,14,4300247,397558094270.0,0.33,15.870032,100.992541
24930,2012,Thailand,male,15-24 years,369,4938617,397558094270.0,7.47,15.870032,100.992541
24931,2012,Thailand,male,25-34 years,721,5121552,397558094270.0,14.08,15.870032,100.992541
24932,2012,Thailand,male,35-54 years,1234,9949264,397558094270.0,12.4,15.870032,100.992541
24934,2012,Thailand,male,55-74 years,581,4433963,397558094270.0,13.1,15.870032,100.992541
24935,2012,Thailand,male,75+ years,136,869252,397558094270.0,15.65,15.870032,100.992541
24951,2012,Turkmenistan,female,05-14 years,2,481962,35164210526.0,0.41,38.969719,59.556278000000006
24948,2012,Turkmenistan,female,15-24 years,18,539169,35164210526.0,3.34,38.969719,59.556278000000006
24949,2012,Turkmenistan,female,25-34 years,9,449631,35164210526.0,2.0,38.969719,59.556278000000006
24950,2012,Turkmenistan,female,35-54 years,4,624535,35164210526.0,0.64,38.969719,59.556278000000006
24952,2012,Turkmenistan,female,55-74 years,0,239090,35164210526.0,0.0,38.969719,59.556278000000006
24953,2012,Turkmenistan,female,75+ years,0,56523,35164210526.0,0.0,38.969719,59.556278000000006
24957,2012,Turkmenistan,male,05-14 years,2,493572,35164210526.0,0.41,38.969719,59.556278000000006
24954,2012,Turkmenistan,male,15-24 years,35,547952,35164210526.0,6.39,38.969719,59.556278000000006
24955,2012,Turkmenistan,male,25-34 years,23,444997,35164210526.0,5.17,38.969719,59.556278000000006
24956,2012,Turkmenistan,male,35-54 years,39,584037,35164210526.0,6.68,38.969719,59.556278000000006
24958,2012,Turkmenistan,male,55-74 years,5,195269,35164210526.0,2.56,38.969719,59.556278000000006
24959,2012,Turkmenistan,male,75+ years,1,33321,35164210526.0,3.0,38.969719,59.556278000000006
24963,2012,Ukraine,female,05-14 years,20,1984557,175781379051.0,1.01,48.379433,31.16558
24960,2012,Ukraine,female,15-24 years,126,2819749,175781379051.0,4.47,48.379433,31.16558
24961,2012,Ukraine,female,25-34 years,186,3607893,175781379051.0,5.16,48.379433,31.16558
24962,2012,Ukraine,female,35-54 years,494,6837697,175781379051.0,7.22,48.379433,31.16558
24964,2012,Ukraine,female,55-74 years,524,5852504,175781379051.0,8.95,48.379433,31.16558
24965,2012,Ukraine,female,75+ years,347,2131156,175781379051.0,16.28,48.379433,31.16558
24969,2012,Ukraine,male,05-14 years,35,2094456,175781379051.0,1.67,48.379433,31.16558
24966,2012,Ukraine,male,15-24 years,838,2960881,175781379051.0,28.3,48.379433,31.16558
24967,2012,Ukraine,male,25-34 years,1450,3692383,175781379051.0,39.27,48.379433,31.16558
24968,2012,Ukraine,male,35-54 years,2680,6175567,175781379051.0,43.4,48.379433,31.16558
24970,2012,Ukraine,male,55-74 years,1768,3880830,175781379051.0,45.56,48.379433,31.16558
24971,2012,Ukraine,male,75+ years,590,878262,175781379051.0,67.18,48.379433,31.16558
24975,2012,United Kingdom,female,05-14 years,2,3521812,2662085168499.0,0.06,55.378051,-3.435973
24972,2012,United Kingdom,female,15-24 years,70,4054017,2662085168499.0,1.73,55.378051,-3.435973
24973,2012,United Kingdom,female,25-34 years,153,4296499,2662085168499.0,3.56,55.378051,-3.435973
24974,2012,United Kingdom,female,35-54 years,403,8852151,2662085168499.0,4.55,55.378051,-3.435973
24976,2012,United Kingdom,female,55-74 years,211,6737405,2662085168499.0,3.13,55.378051,-3.435973
24977,2012,United Kingdom,female,75+ years,93,2976921,2662085168499.0,3.12,55.378051,-3.435973
24981,2012,United Kingdom,male,05-14 years,10,3695552,2662085168499.0,0.27,55.378051,-3.435973
24978,2012,United Kingdom,male,15-24 years,364,4204765,2662085168499.0,8.66,55.378051,-3.435973
24979,2012,United Kingdom,male,25-34 years,597,4261254,2662085168499.0,14.01,55.378051,-3.435973
24980,2012,United Kingdom,male,35-54 years,1587,8673006,2662085168499.0,18.3,55.378051,-3.435973
24982,2012,United Kingdom,male,55-74 years,739,6392214,2662085168499.0,11.56,55.378051,-3.435973
24983,2012,United Kingdom,male,75+ years,215,2043034,2662085168499.0,10.52,55.378051,-3.435973
24987,2012,United States,female,05-14 years,85,20273917,16155255000000.0,0.42,37.09024,-95.712891
24984,2012,United States,female,15-24 years,954,21653970,16155255000000.0,4.41,37.09024,-95.712891
24985,2012,United States,female,25-34 years,1231,20667924,16155255000000.0,5.96,37.09024,-95.712891
24986,2012,United States,female,35-54 years,3857,42238495,16155255000000.0,9.13,37.09024,-95.712891
24988,2012,United States,female,55-74 years,2264,32244829,16155255000000.0,7.02,37.09024,-95.712891
24989,2012,United States,female,75+ years,428,11375645,16155255000000.0,3.76,37.09024,-95.712891
24993,2012,United States,male,05-14 years,226,21198150,16155255000000.0,1.07,37.09024,-95.712891
24990,2012,United States,male,15-24 years,3918,22713083,16155255000000.0,17.25,37.09024,-95.712891
24991,2012,United States,male,25-34 years,4985,21028158,16155255000000.0,23.71,37.09024,-95.712891
24992,2012,United States,male,35-54 years,11763,42326226,16155255000000.0,27.79,37.09024,-95.712891
24994,2012,United States,male,55-74 years,8032,29473157,16155255000000.0,27.25,37.09024,-95.712891
24995,2012,United States,male,75+ years,2853,7633574,16155255000000.0,37.37,37.09024,-95.712891
24999,2012,Uruguay,female,05-14 years,1,246803,51264390116.0,0.41,-32.522779,-55.765834999999996
24996,2012,Uruguay,female,15-24 years,12,255688,51264390116.0,4.69,-32.522779,-55.765834999999996
24997,2012,Uruguay,female,25-34 years,16,232940,51264390116.0,6.87,-32.522779,-55.765834999999996
24998,2012,Uruguay,female,35-54 years,44,433744,51264390116.0,10.14,-32.522779,-55.765834999999996
25000,2012,Uruguay,female,55-74 years,36,314226,51264390116.0,11.46,-32.522779,-55.765834999999996
25001,2012,Uruguay,female,75+ years,14,155392,51264390116.0,9.01,-32.522779,-55.765834999999996
25005,2012,Uruguay,male,05-14 years,2,257123,51264390116.0,0.78,-32.522779,-55.765834999999996
25002,2012,Uruguay,male,15-24 years,81,264743,51264390116.0,30.6,-32.522779,-55.765834999999996
25003,2012,Uruguay,male,25-34 years,72,234961,51264390116.0,30.64,-32.522779,-55.765834999999996
25004,2012,Uruguay,male,35-54 years,144,413990,51264390116.0,34.78,-32.522779,-55.765834999999996
25006,2012,Uruguay,male,55-74 years,112,263508,51264390116.0,42.5,-32.522779,-55.765834999999996
25007,2012,Uruguay,male,75+ years,65,78821,51264390116.0,82.47,-32.522779,-55.765834999999996
25035,2013,Argentina,female,05-14 years,32,3515742,552025140252.0,0.91,-38.416097,-63.616671999999994
25032,2013,Argentina,female,15-24 years,167,3384642,552025140252.0,4.93,-38.416097,-63.616671999999994
25033,2013,Argentina,female,25-34 years,102,3226464,552025140252.0,3.16,-38.416097,-63.616671999999994
25034,2013,Argentina,female,35-54 years,157,5099167,552025140252.0,3.08,-38.416097,-63.616671999999994
25036,2013,Argentina,female,55-74 years,102,3390673,552025140252.0,3.01,-38.416097,-63.616671999999994
25037,2013,Argentina,female,75+ years,29,1303352,552025140252.0,2.23,-38.416097,-63.616671999999994
25041,2013,Argentina,male,05-14 years,33,3637026,552025140252.0,0.91,-38.416097,-63.616671999999994
25038,2013,Argentina,male,15-24 years,696,3486661,552025140252.0,19.96,-38.416097,-63.616671999999994
25039,2013,Argentina,male,25-34 years,499,3271373,552025140252.0,15.25,-38.416097,-63.616671999999994
25040,2013,Argentina,male,35-54 years,604,4950850,552025140252.0,12.2,-38.416097,-63.616671999999994
25042,2013,Argentina,male,55-74 years,398,2894129,552025140252.0,13.75,-38.416097,-63.616671999999994
25043,2013,Argentina,male,75+ years,168,699046,552025140252.0,24.03,-38.416097,-63.616671999999994
25059,2013,Australia,female,05-14 years,6,1389383,1573696522007.0,0.43,-25.274398,133.775136
25056,2013,Australia,female,15-24 years,95,1512779,1573696522007.0,6.28,-25.274398,133.775136
25057,2013,Australia,female,25-34 years,95,1676648,1573696522007.0,5.67,-25.274398,133.775136
25058,2013,Australia,female,35-54 years,275,3171477,1573696522007.0,8.67,-25.274398,133.775136
25060,2013,Australia,female,55-74 years,145,2276104,1573696522007.0,6.37,-25.274398,133.775136
25061,2013,Australia,female,75+ years,48,847577,1573696522007.0,5.66,-25.274398,133.775136
25065,2013,Australia,male,05-14 years,16,1464302,1573696522007.0,1.09,-25.274398,133.775136
25062,2013,Australia,male,15-24 years,267,1591539,1573696522007.0,16.78,-25.274398,133.775136
25063,2013,Australia,male,25-34 years,329,1702401,1573696522007.0,19.33,-25.274398,133.775136
25064,2013,Australia,male,35-54 years,754,3118829,1573696522007.0,24.18,-25.274398,133.775136
25066,2013,Australia,male,55-74 years,418,2221866,1573696522007.0,18.81,-25.274398,133.775136
25067,2013,Australia,male,75+ years,160,627275,1573696522007.0,25.51,-25.274398,133.775136
25071,2013,Austria,female,05-14 years,3,400256,430068712972.0,0.75,47.516231,14.550072
25068,2013,Austria,female,15-24 years,20,496526,430068712972.0,4.03,47.516231,14.550072
25069,2013,Austria,female,25-34 years,25,556475,430068712972.0,4.49,47.516231,14.550072
25070,2013,Austria,female,35-54 years,94,1279480,430068712972.0,7.35,47.516231,14.550072
25072,2013,Austria,female,55-74 years,118,981829,430068712972.0,12.02,47.516231,14.550072
25073,2013,Austria,female,75+ years,64,431074,430068712972.0,14.85,47.516231,14.550072
25077,2013,Austria,male,05-14 years,1,420342,430068712972.0,0.24,47.516231,14.550072
25074,2013,Austria,male,15-24 years,54,518852,430068712972.0,10.41,47.516231,14.550072
25075,2013,Austria,male,25-34 years,75,563630,430068712972.0,13.31,47.516231,14.550072
25076,2013,Austria,male,35-54 years,317,1282009,430068712972.0,24.73,47.516231,14.550072
25078,2013,Austria,male,55-74 years,299,893602,430068712972.0,33.46,47.516231,14.550072
25079,2013,Austria,male,75+ years,221,255540,430068712972.0,86.48,47.516231,14.550072
25131,2013,Belgium,female,05-14 years,2,610848,520925468953.0,0.33,50.503887,4.469936
25128,2013,Belgium,female,15-24 years,27,656675,520925468953.0,4.11,50.503887,4.469936
25129,2013,Belgium,female,25-34 years,47,721787,520925468953.0,6.51,50.503887,4.469936
25130,2013,Belgium,female,35-54 years,215,1546111,520925468953.0,13.91,50.503887,4.469936
25132,2013,Belgium,female,55-74 years,168,1221439,520925468953.0,13.75,50.503887,4.469936
25133,2013,Belgium,female,75+ years,73,605856,520925468953.0,12.05,50.503887,4.469936
25137,2013,Belgium,male,05-14 years,3,638399,520925468953.0,0.47,50.503887,4.469936
25134,2013,Belgium,male,15-24 years,91,679018,520925468953.0,13.4,50.503887,4.469936
25135,2013,Belgium,male,25-34 years,159,728918,520925468953.0,21.81,50.503887,4.469936
25136,2013,Belgium,male,35-54 years,570,1582723,520925468953.0,36.01,50.503887,4.469936
25138,2013,Belgium,male,55-74 years,357,1155511,520925468953.0,30.9,50.503887,4.469936
25139,2013,Belgium,male,75+ years,183,378864,520925468953.0,48.3,50.503887,4.469936
25143,2013,Belize,female,05-14 years,0,38558,1612573850.0,0.0,17.189877,-88.49765
25140,2013,Belize,female,15-24 years,1,35551,1612573850.0,2.81,17.189877,-88.49765
25141,2013,Belize,female,25-34 years,0,28278,1612573850.0,0.0,17.189877,-88.49765
25142,2013,Belize,female,35-54 years,0,36553,1612573850.0,0.0,17.189877,-88.49765
25144,2013,Belize,female,55-74 years,0,12179,1612573850.0,0.0,17.189877,-88.49765
25145,2013,Belize,female,75+ years,0,2451,1612573850.0,0.0,17.189877,-88.49765
25149,2013,Belize,male,05-14 years,0,39211,1612573850.0,0.0,17.189877,-88.49765
25146,2013,Belize,male,15-24 years,4,35340,1612573850.0,11.32,17.189877,-88.49765
25147,2013,Belize,male,25-34 years,4,26847,1612573850.0,14.9,17.189877,-88.49765
25148,2013,Belize,male,35-54 years,7,35782,1612573850.0,19.56,17.189877,-88.49765
25150,2013,Belize,male,55-74 years,1,12803,1612573850.0,7.81,17.189877,-88.49765
25151,2013,Belize,male,75+ years,0,2335,1612573850.0,0.0,17.189877,-88.49765
25155,2013,Brazil,female,05-14 years,50,15923724,2472806919902.0,0.31,-14.235004,-51.92528
25152,2013,Brazil,female,15-24 years,362,17123318,2472806919902.0,2.11,-14.235004,-51.92528
25153,2013,Brazil,female,25-34 years,393,17492228,2472806919902.0,2.25,-14.235004,-51.92528
25154,2013,Brazil,female,35-54 years,897,27475364,2472806919902.0,3.26,-14.235004,-51.92528
25156,2013,Brazil,female,55-74 years,433,14022927,2472806919902.0,3.09,-14.235004,-51.92528
25157,2013,Brazil,female,75+ years,88,3462431,2472806919902.0,2.54,-14.235004,-51.92528
25161,2013,Brazil,male,05-14 years,72,16555477,2472806919902.0,0.43,-14.235004,-51.92528
25158,2013,Brazil,male,15-24 years,1317,17627508,2472806919902.0,7.47,-14.235004,-51.92528
25159,2013,Brazil,male,25-34 years,2004,17534209,2472806919902.0,11.43,-14.235004,-51.92528
25160,2013,Brazil,male,35-54 years,3053,25965164,2472806919902.0,11.76,-14.235004,-51.92528
25162,2013,Brazil,male,55-74 years,1474,12036068,2472806919902.0,12.25,-14.235004,-51.92528
25163,2013,Brazil,male,75+ years,370,2240434,2472806919902.0,16.51,-14.235004,-51.92528
25167,2013,Bulgaria,female,05-14 years,1,315034,55758754072.0,0.32,42.733883,25.48583
25164,2013,Bulgaria,female,15-24 years,6,374785,55758754072.0,1.6,42.733883,25.48583
25165,2013,Bulgaria,female,25-34 years,12,477076,55758754072.0,2.52,42.733883,25.48583
25166,2013,Bulgaria,female,35-54 years,41,1012070,55758754072.0,4.05,42.733883,25.48583
25168,2013,Bulgaria,female,55-74 years,41,1002925,55758754072.0,4.09,42.733883,25.48583
25169,2013,Bulgaria,female,75+ years,47,380633,55758754072.0,12.35,42.733883,25.48583
25173,2013,Bulgaria,male,05-14 years,1,333559,55758754072.0,0.3,42.733883,25.48583
25170,2013,Bulgaria,male,15-24 years,32,397784,55758754072.0,8.04,42.733883,25.48583
25171,2013,Bulgaria,male,25-34 years,56,514523,55758754072.0,10.88,42.733883,25.48583
25172,2013,Bulgaria,male,35-54 years,164,1052928,55758754072.0,15.58,42.733883,25.48583
25174,2013,Bulgaria,male,55-74 years,207,831118,55758754072.0,24.91,42.733883,25.48583
25175,2013,Bulgaria,male,75+ years,113,228209,55758754072.0,49.52,42.733883,25.48583
25179,2013,Canada,female,05-14 years,20,1823010,1842628005830.0,1.1,56.130366,-106.34677099999999
25176,2013,Canada,female,15-24 years,138,2261173,1842628005830.0,6.1,56.130366,-106.34677099999999
25177,2013,Canada,female,25-34 years,135,2433660,1842628005830.0,5.55,56.130366,-106.34677099999999
25178,2013,Canada,female,35-54 years,400,5003771,1842628005830.0,7.99,56.130366,-106.34677099999999
25180,2013,Canada,female,55-74 years,255,3887315,1842628005830.0,6.56,56.130366,-106.34677099999999
25181,2013,Canada,female,75+ years,65,1410630,1842628005830.0,4.61,56.130366,-106.34677099999999
25185,2013,Canada,male,05-14 years,15,1927751,1842628005830.0,0.78,56.130366,-106.34677099999999
25182,2013,Canada,male,15-24 years,300,2362807,1842628005830.0,12.7,56.130366,-106.34677099999999
25183,2013,Canada,male,25-34 years,439,2456335,1842628005830.0,17.87,56.130366,-106.34677099999999
25184,2013,Canada,male,35-54 years,1244,5032714,1842628005830.0,24.72,56.130366,-106.34677099999999
25186,2013,Canada,male,55-74 years,812,3724622,1842628005830.0,21.8,56.130366,-106.34677099999999
25187,2013,Canada,male,75+ years,231,991048,1842628005830.0,23.31,56.130366,-106.34677099999999
25191,2013,Chile,female,05-14 years,8,1238965,278384332694.0,0.65,-35.675146999999996,-71.542969
25188,2013,Chile,female,15-24 years,60,1370723,278384332694.0,4.38,-35.675146999999996,-71.542969
25189,2013,Chile,female,25-34 years,52,1318935,278384332694.0,3.94,-35.675146999999996,-71.542969
25190,2013,Chile,female,35-54 years,130,2401833,278384332694.0,5.41,-35.675146999999996,-71.542969
25192,2013,Chile,female,55-74 years,54,1445681,278384332694.0,3.74,-35.675146999999996,-71.542969
25193,2013,Chile,female,75+ years,14,442189,278384332694.0,3.17,-35.675146999999996,-71.542969
25197,2013,Chile,male,05-14 years,12,1285975,278384332694.0,0.93,-35.675146999999996,-71.542969
25194,2013,Chile,male,15-24 years,224,1425807,278384332694.0,15.71,-35.675146999999996,-71.542969
25195,2013,Chile,male,25-34 years,298,1359760,278384332694.0,21.92,-35.675146999999996,-71.542969
25196,2013,Chile,male,35-54 years,516,2389789,278384332694.0,21.59,-35.675146999999996,-71.542969
25198,2013,Chile,male,55-74 years,288,1296922,278384332694.0,22.21,-35.675146999999996,-71.542969
25199,2013,Chile,male,75+ years,82,265665,278384332694.0,30.87,-35.675146999999996,-71.542969
25203,2013,Colombia,female,05-14 years,36,3959475,380191881860.0,0.91,4.570868,-74.297333
25200,2013,Colombia,female,15-24 years,141,4114036,380191881860.0,3.43,4.570868,-74.297333
25201,2013,Colombia,female,25-34 years,81,3977885,380191881860.0,2.04,4.570868,-74.297333
25202,2013,Colombia,female,35-54 years,101,6365459,380191881860.0,1.59,4.570868,-74.297333
25204,2013,Colombia,female,55-74 years,41,3079952,380191881860.0,1.33,4.570868,-74.297333
25205,2013,Colombia,female,75+ years,5,665950,380191881860.0,0.75,4.570868,-74.297333
25209,2013,Colombia,male,05-14 years,41,4126269,380191881860.0,0.99,4.570868,-74.297333
25206,2013,Colombia,male,15-24 years,450,4235904,380191881860.0,10.62,4.570868,-74.297333
25207,2013,Colombia,male,25-34 years,381,3931611,380191881860.0,9.69,4.570868,-74.297333
